Title,Description,Date,Source,Annotation category,Annotation tone
Taylor Swift Just Made Box Office History With The Eras Tour,Taylor Swift: The Eras Tour just became the first concert film in history to top the charts for two consecutive weekends.,2023-10-24T19:00:51Z,/FILM,Performances,Positive
Can ‘Taylor Swift: The Eras Tour’ Turn a Non-Swiftie? We Put It to the Test,A Rolling Stone editor and self-admitted non Taylor Swift fan reviews the ‘Taylor Swift: The Eras Tour.',2023-10-23T16:00:00Z,Rolling Stone,Performances,Neutral
Why do people think Taylor Swift secretly wrote Henry Cavill’s new spy movie?,Argylle stars Henry Cavill and Dua Lipa and is based on a book by author Elly Conway — who Taylor Swift fans are convinced is the pop superstar herself.,2023-10-24T14:00:00Z,Polygon,Public Image & Media Perception,Neutral
CBS Shows Just How Much Taylor Swift Affects Travis Kelce’s Game,"The Chiefs tight end averages 99 receiving yards a game when the singer is in attendance, versus 46.5 yards when she’s a no-show.",2023-10-23T17:52:34Z,HuffPost,Industry-specific Impact,Neutral
Stop asking Shawn Levy if Taylor Swift is in Deadpool,"The double-edged sword of operating in Taylor Swift’s orbit is that it can shoot you to a new stratosphere of fame, but forever after her presence in your life will be completely inescapable. Just ask director Shawn Levy, who happened to go to a Jets/Chiefs g…",2023-10-26T19:23:04Z,The A.V. Club,Public Image & Media Perception,Neutral
Taylor Swift Reportedly Sets Concert Film Record As ‘Eras Tour’ Dominates Box Office For A Second Weekend,"Swift’s “Eras Tour” movie reportedly became the first concert film to pass $100 million domestically, without adjusting for inflation.",2023-10-22T16:50:28Z,Forbes,Performances,Positive
A Ranking of Taylor Swift’s ‘From the Vault’ Songs,"With each re-recorded album, Taylor Swift has also released songs that almost made the cut. Here are our favorite 'From the Vault' tracks.",2023-10-25T15:30:13Z,Time,Musical Creation,Neutral
"Taylor Swift Earns 10th No. 1 Song With “Cruel Summer,” Reaches Singles Chart Milestone",She’s tied with Stevie Wonder and Janet Jackson for ninth place for the most No. 1 songs on the Billboard Hot 100,2023-10-23T23:23:30Z,Pitchfork,Musical Creation,Positive
Christopher Nolan Praises Taylor Swift: Eras Tour Distribution Deal,"We are two weekends in Taylor Swift taking over movie theaters with the release of the Eras Tour, and people are starting to talk about what this could mean for the future of theaters. The reality of the industry is that it has never really recovered to the e…",2023-10-23T17:02:07Z,Bleeding Cool News,Performances,Positive
Rob Gronkowski Boldly Shares Unpopular Taylor Swift Opinion,Gronkowski is among the fans who want more football on the screen.,2023-10-26T13:38:26Z,Sports Illustrated,Public Image & Media Perception,Negative
Dane Cook Lobbies AMC To Make Him Taylor Swift of Comedy Concert Movies,"By Matt Solomon Published: October 23rd, 2023",2023-10-23T14:35:00Z,Cracked.com,Industry-specific Impact,Positive
Taylor Swift Truly Has the Ultimate Ordinary Sneaker Collection,"Taylor Swift's personal style is a strong reflection of her cultural impact, such that it is. Part of the secret to Swift's success is that she proffers the mo…",2023-10-24T20:28:19Z,Highsnobiety,Performances,Positive
Taylor Swift’s ‘All You Had To Do Was Stay’ Is Criminally Underrated,"It's time to reassess the track from Taylor Swift's 1989, which is set to be rereleased on Oct. 27.",2023-10-26T14:43:39Z,Time,Musical Creation,Positive
Taylor Swift Fans’ Latest Wild Theory: Swifties Believe The Singer Wrote Upcoming Spy Thriller ‘Argylle’ Under Pen Name,"Taylor Swift’s fans are known for coming up with outlandish theories about the singer’s next move, often at the encouragement of Swift herself.",2023-10-26T20:43:42Z,Forbes,Public Image & Media Perception,Neutral
Taylor Swift Shows Up Again for Travis Kelce's Game in Kansas City,"Taylor Swift might just be Travis Kelce's good luck charm -- especially when his team's playing at home, which they are today ... and which TayTay is on hand for yet again. The singer is in Arrowhead Stadium right now as the Chiefs play the…",2023-10-22T20:56:06Z,TMZ,Romance,Negative
8 Box Office Records Broken By Taylor Swift: The Eras Tour Movie,"Taylor Swift: The Eras Tour is a huge box office success, as the movie has broken a handful of records related to its total gross and ticket presales.",2023-10-24T18:40:21Z,Screen Rant,Performances,Positive
Travis Kelce’s Dad Ed Says Taylor Swift Didn’t Get the Diva Memo,"Ed Kelce calls the singer “a very, very sweet, very charming, down-to-earth young woman.""",2023-10-24T08:07:11Z,Rolling Stone,Personal Life,Positive
Taylor Swift’s Eras Tour Movie Streaming Release Won’t Be Until Actors Strike Ends,"According to The Hollywood Reporter, global superstar Taylor Swift has halted negotiations for the streaming rights to The Eras Tour concert movie, following its record-breaking theatrical debut. Swift and her team are reportedly waiting for the SAG-AFTRA str…",2023-10-26T20:56:56Z,ComingSoon.net,Performances,Neutral
Taylor Swift Seemingly Teases Coffee-Themed ‘From the Vault’ Lyrics Ahead of ‘1989 TV’ Release,"On Tuesday, Taylor Swift shared handwritten lyrics that fans think are from a 'From the Vault' track on '1989 (Taylor's Version).'",2023-10-24T23:25:36Z,Rolling Stone,Musical Creation,Neutral
"Taylor Swift Is #1 at Box Office, but ‘Killers of the Flower Moon’ Sells More Tickets",Two films both with unconventional distribution come to the rescue of theaters.,2023-10-22T18:00:00Z,IndieWire,Performances,Neutral
"Taylor Swift is Attending Week 7 Chargers-Chiefs Game, Confirmed by a Bernie Kosar Selfie","Of all the people Swift could pose for a selfie with, who would guess this?",2023-10-22T20:12:32Z,Sports Illustrated,Romance,Neutral
Travis Kelce Delivers Inspiring Halftime Speech About What Sex With Taylor Swift Like,"KANSAS CITY, MO—In an effort to rally his teammates, Kansas City Chiefs tight end Travis Kelce reportedly delivered an inspiring halftime speech Sunday about what sex with Taylor Swift was like. “We were all sitting there feeling weary, and Travis could tell,…",2023-10-23T10:00:00Z,Theonion.com,Romance,Positive
"Taylor Swift, Morgan Wallen, SZA Top 2023 Billboard Music Awards Nominations – Complete List","Taylor Swift, Morgan Wallen, SZA, The Weeknd, Drake, and Zach Bryan are top of the list in 2023 Billboard Music Awards nominations, with Swift leading the charge with nominations in 20 categories, the most of any artist this year. SZA is up for 16 awards with…",2023-10-26T15:30:00Z,Deadline,Musical Creation,Neutral
"Audiences For 'Taylor Swift: The Eras Tour' Movie Are Out Of Control, And People Have Mixed Feelings About It",The audiences for this movie are going bananas.,2023-10-22T18:01:02Z,HuffPost,Performances,Negative
‘Go to one of the other two cities’: Taylor Swift fan shares PSA to New Orleans Eras Tour attendees,"A Taylor Swift fan issued a PSA warning attendees of the New Orleans leg of the Eras Tour about cars getting stolen in the city.


TikTok user Lauren (@prolefem) has garnered over 182,000 views and 20,000 likes on her video as of this writing, while other New…",2023-10-25T19:39:24Z,The Daily Dot,Performances,Negative
Taylor Swift takes in Chargers-Chiefs at Arrowhead in Week 7,Taylor Swift is back at Arrowhead Stadium for the second week in a row to watch the Los Angeles Chargers take on the Kansas City Chiefs.,2023-10-22T20:56:44Z,ESPN,Romance,Neutral
Taylor Swift Seemingly Shoots Down ‘Gaylor’ Rumors,"Gotham/GC Images/Getty
Taylor Swift’s version of her Grammy-winning 2014 album 1989 drops tonight at midnight, but there’s already an apparent leak of the written prologue that accompanies the rerecorded LP. And with it, revelations about Swift’s sexuality a…",2023-10-26T19:13:38Z,Daily Beast,Public Image & Media Perception,Neutral
Taylor Swift & Travis Kelce's Date Nights Continue in Kansas City,"With one win already in the books…
Taylor Swift and Travis Kelce brought their weekend to the end zone once again with the perfect date night. After enjoying time in the city that never sleeps...",2023-10-24T15:22:10Z,Eonline.com,Romance,Neutral
Why Drew Barrymore’s Dating Lesson From Taylor Swift Hits Different,"Drew Barrymore is ready for her next love story.
While the Never Been Kissed star has been ""happily"" single for seven years following her split with husband Will Kopelman, she shared how Taylor...",2023-10-23T21:33:08Z,Eonline.com,Personal Life,Positive
"Taylor Swift commands a huge fan base — and for some, it borders on spiritual","There’s been a fervent fan base surrounding Taylor Swift and her brand of music since she burst onto the scene in 2006. But more recently, that devotion has been taken to new heights, particularly given the record-breaking success of her worldwide Eras Tour c…",2023-10-22T08:00:00Z,CBC News,Public Image & Media Perception,Negative
Going to See Taylor Swift's Eras Tour Concert Film? Here's What You'll Want to Know - CNET,"Curious about the concert flick? Read on, Swiftie.",2023-10-25T08:30:04Z,CNET,Performances,Neutral
Taylor Swift and Short-Term Rentals: It’s a Love Story,Taylor Swift and Short-Term Rentals: Analyzing the Data on the Influence of Ticket Sales on U.S. Hotel Occupancy and Rental Trends.,2023-10-25T18:11:00Z,Skift,Industry-specific Impact,Neutral
Taylor Swift May Be Good for Mental Health Per New Research,The Swift phenomenon has “a place in this world” that’s more than music.,2023-10-24T13:02:07Z,Psychology Today,Industry-specific Impact,Positive
TAYLOR SWIFT: THE ERAS TOUR Has Already Grossed More At The U.S. Box Office Than Each 2023 DCEU Movie,"As if 2023 hadn't already been bad enough for DC, it's been confirmed that Taylor Swift: The Eras Tour has already grossed more than the domestic haul of each DCEU movie released this year, respectively.",2023-10-22T10:06:25Z,CBM (Comic Book Movie),Performances,Positive
"Kelly Clarkson Slams Taylor Swift Romance, Backtracks When Attacked by Swifties","""They're just talking about gossip things and you’re like, 'So what about the play?'"" Football fan Kelly Clarkson slammed NFL's coverage of Taylor Swift and Travis Kelce: https://t.co/C0NTEa7vLu pic.twitter.com/7n6k7f1mBk
— Decider (@decider) October 21, 202…",2023-10-22T16:33:09Z,Livejournal.com,Public Image & Media Perception,Negative
Taylor Swift Ties Miley Cyrus And Mariah Carey As ‘Cruel Summer’ Rules Pop Radio,"Taylor Swift is now tied with four other solo women for the fifth-most weeks spent at No. 1 on the Pop Airplay chart. She is currently on the same level as Dionne Farris (“I Know”), Mariah Carey (""We Belong Together"") and Miley Cyrus (“Flowers”).",2023-10-23T14:00:00Z,Forbes,Musical Creation,Positive
Lead Like Taylor Swift: 5 Top Secrets Of Her Superstar Success,"Call it what you want, but if your end game is becoming a leader in your field, then make these habits your style. (In a blank space, reveal the Swift song titles here.)",2023-10-22T19:45:53Z,Forbes,Industry-specific Impact,Positive
How Taylor Swift Could Make History At The 2023 Billboard Music Awards,Swift — who is already the top female BBMAs recipient of all time — could surpass this artist to become the top overall leader.,2023-10-26T20:26:25Z,Forbes,Musical Creation,Positive
"Elon Musk May Have Given Up On Privacy For His Jet Travels, But Taylor Swift Hasn’t",Forbes got an exclusive look at the celebrities and billionaires who’ve used a federal program to hide their private-plane flights. Here’s why it’s not working.,2023-10-25T10:30:00Z,Forbes,Public Image & Media Perception,Negative
Taylor Swift Ties Janet Jackson For The Fifth-Most No. 1 Hits In Hot 100 History,"Taylor Swift is now on the same level as Janet Jackson, who also managed 10 Hot 100 champions during her heyday.",2023-10-23T20:18:52Z,Forbes,Musical Creation,Positive
Taylor Swift Will Tie Justin Timberlake And Ariana Grande At The Grammys This Year,"When Midnights is named as a potential winner in the Best Pop Vocal Album category, it will mark Taylor Swift's fifth time being in the running for the prize.",2023-10-24T13:00:00Z,Forbes,Musical Creation,Positive
How Taylor Swift Turned Herself Into a Victoria’s Secret Model,"Photo Illustration by The Daily Beast / Getty
To honor Taylor Swift’s latest rerecording, we’re celebrating 1989 (Taylor’s Version) Week at The Daily Beast’s Obsessed. That means we’re throwing it back to 2014, to re-live everything that Taylor—and the rest …",2023-10-24T08:45:07Z,Daily Beast,Performances,Positive
